Model,Family,Is_Instruct,Self_AI_mean,Other_AI_mean,Self_Human_mean,Other_Human_mean,AI_referent_d,Human_referent_d,Referent_p,Direction
Qwen3-0.6B,Qwen,False,0.8472,0.8312,0.8579,0.8248,0.2160,0.6281,0.455297,self>other
Qwen3-0.6B-Base,Qwen,False,0.8657,0.8560,0.8713,0.8411,0.1125,0.6397,0.569220,self>other
Qwen3-1.7B,Qwen,False,0.8487,0.8279,0.8662,0.8398,0.2232,0.5529,0.482517,self>other
Qwen3-1.7B-Base,Qwen,False,0.8519,0.8306,0.8788,0.8725,0.2807,0.1114,0.277189,self>other
Qwen3-4B,Qwen,False,0.8209,0.8260,0.8650,0.8554,-0.0716,0.1874,0.610008,other>self
Qwen3-4B-Base,Qwen,False,0.8203,0.8127,0.8679,0.8723,0.1110,-0.0760,0.673495,self>other
Qwen3-8B,Qwen,False,0.8555,0.8558,0.8776,0.8669,-0.0037,0.2188,0.946956,other>self
Qwen3-8B-Base,Qwen,False,0.8383,0.8410,0.8917,0.8717,-0.0387,0.3312,0.876635,other>self
Qwen3-14B,Qwen,False,0.9162,0.9392,0.9137,0.9192,-0.2841,-0.1106,0.297272,other>self
Qwen3-14B-Base,Qwen,False,0.8940,0.8765,0.9035,0.8861,0.2964,0.3911,0.363222,self>other
Llama-3.2-1B,Llama,False,0.7839,0.7958,0.7572,0.7513,-0.2575,0.1397,0.403538,other>self
Llama-3.2-1B-Instruct,Llama,True,0.7312,0.8302,0.7862,0.7839,-1.4874,0.0409,0.000007,other>self
Llama-3.2-3B,Llama,False,0.6548,0.6252,0.7118,0.7024,0.5079,0.2088,0.033874,self>other
Llama-3.2-3B-Instruct,Llama,True,0.6520,0.6648,0.7066,0.6962,-0.2093,0.2470,0.371077,other>self
Llama-3.1-8B,Llama,False,0.6725,0.6644,0.7216,0.7259,0.1350,-0.0958,0.773120,self>other
Llama-3.1-8B-Instruct,Llama,True,0.6663,0.6713,0.7240,0.7199,-0.0731,0.0905,0.818746,other>self
