model,is_instruct,div_reality_acc,div_belief_acc,div_n,aln_belief_acc,aln_n,interpretation,geo_effect,geo_p
Qwen3-0.6B,True,0.7,0.8,20,0.9333333333333333,15,Strong behavioral ToM: model correctly tracks others' false beliefs,-2.0367431640625,0.993006993006993
Qwen3-0.6B-Base,False,0.7,0.65,20,0.6666666666666666,15,Moderate behavioral ToM: partial ability to track false beliefs,2.0270919799804688,0.059940059940059943
Qwen3-1.7B,True,0.8,1.0,20,0.6,15,Strong behavioral ToM: model correctly tracks others' false beliefs,-1.0285110473632812,0.7842157842157842
Qwen3-1.7B-Base,False,0.7,0.85,20,0.6,15,Strong behavioral ToM: model correctly tracks others' false beliefs,-2.6872634887695312,0.989010989010989
Qwen3-4B,True,0.4,0.4,20,0.2,15,Weak/absent behavioral ToM: model fails to distinguish own knowledge from others' beliefs,-12.648849487304688,0.995004995004995
Qwen3-4B-Base,False,0.8,0.6,20,0.5333333333333333,15,Moderate behavioral ToM: partial ability to track false beliefs,4.407386779785156,0.1258741258741259
Qwen3-8B,True,0.25,0.25,20,0.26666666666666666,15,Weak/absent behavioral ToM: model fails to distinguish own knowledge from others' beliefs,-15.280731201171875,0.984015984015984
Qwen3-8B-Base,False,0.85,0.55,20,0.5333333333333333,15,Moderate behavioral ToM: partial ability to track false beliefs,0.9053726196289062,0.05094905094905095
Qwen3-14B,True,0.75,0.55,20,0.6666666666666666,15,Moderate behavioral ToM: partial ability to track false beliefs,11.227546691894531,0.001998001998001998
Qwen3-14B-Base,False,0.8,0.75,20,0.5333333333333333,15,Strong behavioral ToM: model correctly tracks others' false beliefs,13.936439514160156,0.000999000999000999
Llama-3.2-1B,False,0.15,0.3,20,0.13333333333333333,15,Weak/absent behavioral ToM: model fails to distinguish own knowledge from others' beliefs,-2.0505752563476562,0.9500499500499501
Llama-3.2-1B-Instruct,True,0.6,0.6,20,0.5333333333333333,15,Moderate behavioral ToM: partial ability to track false beliefs,-0.1515045166015625,0.5024975024975025
Llama-3.2-3B,False,0.2,0.25,20,0.2,15,Weak/absent behavioral ToM: model fails to distinguish own knowledge from others' beliefs,0.1156463623046875,0.41058941058941056
Llama-3.2-3B-Instruct,True,0.7,0.55,20,0.6666666666666666,15,Moderate behavioral ToM: partial ability to track false beliefs,-0.21663665771484375,0.5484515484515484
Llama-3.1-8B,False,0.15,0.2,20,0.2,15,Weak/absent behavioral ToM: model fails to distinguish own knowledge from others' beliefs,-3.9570236206054688,0.8761238761238761
Llama-3.1-8B-Instruct,True,0.95,0.85,20,0.8666666666666667,15,Strong behavioral ToM: model correctly tracks others' false beliefs,-0.51824951171875,0.6433566433566433
